label,study,arm,es,year,TESTEX,age,sex_%_male,weight,bmi,train_status,healthy_clinical,RT_only,weeks,freq,exercises,sets_exercise,reps,load,task_failure_y_n,outcome,measure,region,specific_region,study_design,RT_n,RT_pre_m,RT_post_m,RT_delta_m,RT_pre_se,RT_post_se,RT_delta_se,RT_pre_sd,RT_post_sd,RT_delta_sd,RT_delta_CI_lower,RT_delta_CI_upper,RT_delta_t_value,RT_delta_p_value,CON_n,CON_pre_m,CON_post_m,CON_delta_m,CON_pre_se,CON_post_se,CON_delta_se,CON_pre_sd,CON_post_sd,CON_delta_sd,CON_delta_CI_lower,CON_delta_CI_upper,CON_delta_t_value,CON_delta_p_value,Notes
"Abe et al., Eur J Appl Physiol, 2000",1,2,21,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,20,5.25,5.61,,,,,0.55,0.55,,,,,,7,5.44,5.34,,,,,0.48,0.51,,,,,,
"Abe et al., Eur J Appl Physiol, 2000",1,2,22,2000,6,41.93333333,0,,23.89259259,untrained,healthy,y,12,3,6,3,10,65,y,hypertrophy,US,upper,quadriceps,between,20,5.17,5.47,,,,,0.35,0.33,,,,,0.05,7,5.3,5.29,,,,,0.55,0.61,,,,,,
"Ades et l., Annals Int Med, 1996",2,3,23,1996,5,70.4,45.8,75.6,,untrained,healthy,y,12,3,7,3,8,80,n,strength,1RM,lower,knee extension,between,12,35,46,,,,,15,16,,,,,,12,29,29,,,,,11,13,,,,,,
"Ades et l., Annals Int Med, 1996",2,3,24,1996,5,70.4,45.8,75.6,,untrained,healthy,y,12,3,7,3,8,80,n,strength,1RM,lower,knee flexion,between,12,10,16,,,,,6,6,,,,,,12,9,9,,,,,5,4,,,,,,
"Ades et l., Annals Int Med, 1996",2,3,25,1996,5,70.4,45.8,75.6,,untrained,healthy,y,12,3,7,3,8,80,n,strength,1RM,upper,chest press,between,12,28,35,,,,,9,12,,,,,,12,24,25,,,,,7,7,,,,,,
"Ades et l., Annals Int Med, 1996",2,3,26,1996,5,70.4,45.8,75.6,,untrained,healthy,y,12,3,7,3,8,80,n,hypertrophy,DXA,total,total,between,12,49.8,50.1,,,,,11.4,11.1,,,,,,12,48.2,47.1,,,,,9.8,10.1,,,,,,
"Ades et l., Annals Int Med, 1996",2,3,27,1996,5,70.4,45.8,75.6,,untrained,healthy,y,12,3,7,3,8,80,n,hypertrophy,DXA,lower,leg,between,12,7,7.1,,,,,1.2,2.8,,,,,,12,7.7,7.4,,,,,1.6,1.6,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,4,28,2015,10,20.45,100,74.35,24.25,untrained,healthy,y,8,2,1,3,10,75,n,strength,1RM,lower,knee extension,between,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,4,29,2015,10,20.45,100,74.35,24.25,untrained,healthy,y,8,2,1,3,10,75,n,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,9,21.11440678,23.58615819,,,,,1.694915254,1.200564972,,,,,,9,21.3559322,21.40677966,,,,,1.271186441,1.423728814,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,4,30,2015,10,20.45,100,74.35,24.25,untrained,healthy,y,8,2,1,3,10,75,n,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,9,17.72457627,19.56073446,,,,,1.34180791,1.306497175,,,,,,9,17.33898305,17.44067797,,,,,1.322033898,1.06779661,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,4,31,2015,10,20.45,100,74.35,24.25,untrained,healthy,y,8,2,1,3,10,75,n,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,9,20.8319209,22.63276836,,,,,1.129943503,1.235875706,,,,,,9,21,21.10169492,,,,,1.220338983,1.322033898,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,4,32,2015,10,20.45,100,74.35,24.25,untrained,healthy,y,8,2,1,3,10,75,n,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,9,7.025423729,8.61440678,,,,,1.447740113,1.059322034,,,,,,9,6.86440678,6.966101695,,,,,1.169491525,1.271186441,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,5,33,2015,10,20.5,100,72.4,23.5,untrained,healthy,y,8,2,1,4,10,75,y,strength,1RM,lower,knee extension,between,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,5,34,2015,10,20.5,100,72.4,23.5,untrained,healthy,y,8,2,1,4,10,75,y,hypertrophy,MRI,lower,quadriceps (vastus lateralis),between,9,21.60875706,25.88135593,,,,,1.200564972,1.024011299,,,,,,9,21.3559322,21.40677966,,,,,1.271186441,1.423728814,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,5,35,2015,10,20.5,100,72.4,23.5,untrained,healthy,y,8,2,1,4,10,75,y,hypertrophy,MRI,lower,quadriceps (vastus medialis),between,9,18.04237288,21.53813559,,,,,1.165254237,1.094632768,,,,,,9,17.33898305,17.44067797,,,,,1.322033898,1.06779661,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,5,36,2015,10,20.5,100,72.4,23.5,untrained,healthy,y,8,2,1,4,10,75,y,hypertrophy,MRI,lower,quadriceps (vastus intermedius),between,9,20.90254237,24.15112994,,,,,0.847457627,0.847457627,,,,,,9,21,21.10169492,,,,,1.220338983,1.322033898,,,,,,
"Aguiar et al., Eur J Apply Physiol, 2015",3,5,37,2015,10,20.5,100,72.4,23.5,untrained,healthy,y,8,2,1,4,10,75,y,hypertrophy,MRI,lower,quadriceps (rectus femoris),between,9,6.813559322,9.461864407,,,,,1.129943503,1.271186441,,,,,,9,6.86440678,6.966101695,,,,,1.169491525,1.271186441,,,,,,
"Ahtiainen et al., Steroids, 2011",4,6,38,2011,6,26.23529412,100,77.23529412,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,strength,1RM,lower,leg press,between,7,170,201,31,,,,33,29,,23,40,,,10,161,167,6,,,,14,15,,-3,14,,,
"Ahtiainen et al., Steroids, 2011",4,6,39,2011,6,26.23529412,100,77.23529412,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,skinfold,total,total,between,7,65,68,2.3,,,,4,4,,1.2,3.5,,,10,61,61,-0.3,,,,3,3,,-1.4,0.7,,,
"Ahtiainen et al., Steroids, 2011",4,6,40,2011,6,26.23529412,100,77.23529412,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,biopsy (type i),lower,quadriceps (vastus lateralis),between,7,4487,6123,1472,,,,604,1325,,616,2328,,,6,4589,4849,133,,,,695,831,,-711,978,,,
"Ahtiainen et al., Steroids, 2011",4,6,41,2011,6,26.23529412,100,77.23529412,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,biopsy (type ii),lower,quadriceps (vastus lateralis),between,7,4409,6618,2299,,,,694,1251,,1314,3284,,,6,4718,4910,455,,,,1040,1088,,-558,1468,,,
"Ahtiainen et al., Steroids, 2011",4,7,42,2011,6,62.33333333,100,78.22222222,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,strength,1RM,lower,leg press,between,10,156,188,33,,,,24,28,,23,42,,,8,148,161,13,,,,17,18,,1,24,,,
"Ahtiainen et al., Steroids, 2011",4,7,43,2011,6,62.33333333,100,78.22222222,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,skinfold,total,total,between,10,61,62,0.9,,,,4,5,,0,1.8,,,8,58,59,1.2,,,,10,11,,0.2,2.3,,,
"Ahtiainen et al., Steroids, 2011",4,7,44,2011,6,62.33333333,100,78.22222222,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,biopsy (type i),lower,quadriceps (vastus lateralis),between,10,5405,6110,880,,,,1207,1128,,198,1561,,,6,4589,4849,133,,,,695,831,,-711,978,,,
"Ahtiainen et al., Steroids, 2011",4,7,45,2011,6,62.33333333,100,78.22222222,,untrained,healthy,y,21,2,7,,10.5,66.66666667,,hypertrophy,biopsy (type ii),lower,quadriceps (vastus lateralis),between,10,3867,3124,-954,,,,1163,1234,,-1742,-168,,,6,4718,4910,455,,,,1040,1088,,-558,1468,,,
"Alcaraz et al., J Strength Cond Res, 2011",5,8,46,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,strength,1RM,upper,bench press,between,15,92.22222222,112.2222222,,,,10.6,19.44444444,20.55555556,,,,,0.001,7,87.22222222,85.55555556,1.94,,,5.2,15,18.88888889,,,,,0.328,
"Alcaraz et al., J Strength Cond Res, 2011",5,8,47,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,strength,1RM,lower,squat,between,15,198.7804878,242.6829268,44.2,,,24.1,39.02439024,28.04878049,,,,,0.001,7,181.7073171,192.6829268,11.3,,,14.6,30.48780488,31.70731707,,,,,0.065,
"Alcaraz et al., J Strength Cond Res, 2011",5,8,48,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,hypertrophy,DXA,total,total,between,15,58.8,60.3,1.5,,,1.9,4.6,5.2,,,,,0.002,7,57.3,57.6,0.3,,,2.3,4.7,5.2,,,,,,
"Alcaraz et al., J Strength Cond Res, 2011",5,9,49,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,strength,1RM,upper,bench press,between,11,80,97.77777778,19.5,,,9,20,15,,,,,0.001,7,87.22222222,85.55555556,1.94,,,5.2,15,18.88888889,,,,,0.328,
"Alcaraz et al., J Strength Cond Res, 2011",5,9,50,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,strength,1RM,lower,squat,between,11,189.0243902,236.5853659,45,,,21.3,35.36585366,41.46341463,,,,,0.001,7,181.7073171,192.6829268,11.3,,,14.6,30.48780488,31.70731707,,,,,0.065,
"Alcaraz et al., J Strength Cond Res, 2011",5,9,51,2011,8,22.7,100,75.2,,trained,healthy,y,8,3,6,4.5,6,85,y,hypertrophy,DXA,total,total,between,11,55.2,56.4,1.2,,,1.6,5.9,5.3,,,,,0.036,7,57.3,57.6,0.3,,,2.3,4.7,5.2,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,10,52,2017,6,23,100,85.28,,trained,healthy,y,12,2,5,3,10,82.5,y,strength,1RM,upper,bench press,between,16,100,108,,,,,14,15,,,,,0.01,14,110,111,,,,,18,20,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,10,53,2017,6,23,100,85.28,,trained,healthy,y,12,2,5,3,10,82.5,y,strength,1RM,lower,leg press,between,16,381,493,,,,,56,70,,,,,0.01,14,375,360,,,,,81,63,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,10,54,2017,6,23,100,85.28,,trained,healthy,y,12,2,5,3,10,82.5,y,hypertrophy,BodPod,total,total,between,16,71.5,72.4,,,,,8.6,8.3,,,,,0.01,14,69.5,69,,,,,8.4,8,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,11,55,2017,6,23,100,83.68,,trained,healthy,y,12,2,5,3,22.5,40,y,strength,1RM,upper,bench press,between,16,99,113,,,,,20,18,,,,,0.01,14,110,111,,,,,18,20,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,11,56,2017,6,23,100,83.68,,trained,healthy,y,12,2,5,3,22.5,40,y,strength,1RM,lower,leg press,between,16,358,508,,,,,66,63,,,,,0.01,14,375,360,,,,,81,63,,,,,,
"Au et al., Med Sci Sports Exerc, 2017",6,11,57,2017,6,23,100,83.68,,trained,healthy,y,12,2,5,3,22.5,40,y,hypertrophy,BodPod,total,total,between,16,69.8,71.4,,,,,7.3,6.4,,,,,0.01,14,69.5,69,,,,,8.4,8,,,,,,
"Bagheri et al., Eur J Applied Physiol, 2019",7,12,58,2019,9,46.55,100,84.55,27.25,untrained,healthy,y,8,3,12,3.5,11.25,65,n,strength,isometric,lower,knee extension,between,10,66.1,69.8,,,,,5.1,4.23,,,,,0.0001,10,69.3,68.5,,,,,4.8,5.4,,,,,0.19,
"Bagheri et al., Eur J Applied Physiol, 2019",7,12,59,2019,9,46.55,100,84.55,27.25,untrained,healthy,y,8,3,12,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,42.9,45.2,,,,,2.8,2.8,,,,,0.0001,10,42.3,42,,,,,3.5,4.8,,,,,0.49,Assumed that p = 0.00 due to rounding and so coded as 0.0001
"Bagheri et al., Eur J Applied Physiol, 2019",7,12,60,2019,9,46.55,100,84.55,27.25,untrained,healthy,y,8,3,12,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,44.5,47.2,,,,,2.3,2,,,,,0.0001,10,45.8,45.4,,,,,2.4,3.4,,,,,0.47,
"Bagheri et al., Eur J Applied Physiol, 2019",7,12,61,2019,9,46.55,100,84.55,27.25,untrained,healthy,y,8,3,12,3.5,11.25,65,n,hypertrophy,BIA,total,total,between,10,35.9,37.4,1.386773547,,,,2.7,2.4,0.801603206,,,,0.0001,10,35,34.9,-0.112224449,,,,2.7,2.9,0.50501002,,,,0.41,
"Bagheri et al., Eur J Applied Physiol, 2019",7,13,62,2019,9,47.7,100,86.1,27.45,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,lower,knee extension,between,10,67.4,69.8,,,,,6.46,6.9,,,,,0.0001,10,69.3,68.5,,,,,4.8,5.4,,,,,0.19,
"Bagheri et al., Eur J Applied Physiol, 2019",7,13,63,2019,9,47.7,100,86.1,27.45,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,42.3,45.4,,,,,2.3,3.1,,,,,0.001,10,42.3,42,,,,,3.5,4.8,,,,,0.49,
"Bagheri et al., Eur J Applied Physiol, 2019",7,13,64,2019,9,47.7,100,86.1,27.45,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,46.6,51.3,,,,,2.8,3.5,,,,,0.0001,10,45.8,45.4,,,,,2.4,3.4,,,,,0.47,
"Bagheri et al., Eur J Applied Physiol, 2019",7,13,65,2019,9,47.7,100,86.1,27.45,untrained,healthy,y,8,3,6,3.5,11.25,65,n,hypertrophy,BIA,total,total,between,10,36.1,36.8,0.77755511,,,,1.8,2.1,0.50501002,,,,0.001,10,35,34.9,-0.112224449,,,,2.7,2.9,0.50501002,,,,0.41,
"Bagheri et al., Eur J Applied Physiol, 2019",7,14,66,2019,9,46.4,100,83.25,27.05,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,lower,knee extension,between,10,67.3,71.9,,,,,5.9,5.8,,,,,0.0001,10,69.3,68.5,,,,,4.8,5.4,,,,,0.19,
"Bagheri et al., Eur J Applied Physiol, 2019",7,14,67,2019,9,46.4,100,83.25,27.05,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,41.8,43.3,,,,,4.2,4.8,,,,,0.01,10,42.3,42,,,,,3.5,4.8,,,,,0.49,
"Bagheri et al., Eur J Applied Physiol, 2019",7,14,68,2019,9,46.4,100,83.25,27.05,untrained,healthy,y,8,3,6,3.5,11.25,65,n,strength,isometric,upper,handgrip,between,10,44,46.6,,,,,2,1.8,,,,,0.0001,10,45.8,45.4,,,,,2.4,3.4,,,,,0.47,
"Bagheri et al., Eur J Applied Physiol, 2019",7,14,69,2019,9,46.4,100,83.25,27.05,untrained,healthy,y,8,3,6,3.5,11.25,65,n,hypertrophy,BIA,total,total,between,10,34.4,35.3,0.881763527,,,,1.8,1.7,0.424849699,,,,0.0001,10,35,34.9,-0.112224449,,,,2.7,2.9,0.50501002,,,,0.41,
"Bemben et al., Med Sci Sports Exerc, 2000",8,15,70,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,upper,elbow flexion,between,10,209,232,,22,18,,,,,,,,,8,183,151,,13,18,,,,,,,,0.05,
"Bemben et al., Med Sci Sports Exerc, 2001",8,15,71,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,upper,pulldown,between,10,258,361,,22,27,,,,,,,,0.05,8,281,245,,13,18,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2002",8,15,72,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,upper,row,between,10,320,419,,22,22,,,,,,,,0.05,8,325,298,,18,31,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2003",8,15,73,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,upper,overhead press,between,10,330,392,,31,27,,,,,,,,0.05,8,307,325,,22,18,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2004",8,15,74,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,upper,elbow extension,between,10,208,236,,18,22,,,,,,,,,8,178,168,,13,13,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2005",8,15,75,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,knee flexion,between,10,468,548,,40,27,,,,,,,,0.05,8,419,392,,27,40,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2006",8,15,76,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,leg press,between,10,797,1046,,67,120,,,,,,,,0.05,8,637,664,,45,58,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2007",8,15,77,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,knee extension,between,10,414,535,,40,27,,,,,,,,0.05,8,352,352,,40,53,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2008",8,15,78,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,hip abduction,between,10,396,401,,45,22,,,,,,,,,8,294,258,,31,13,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2009",8,15,79,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,hip adduction,between,10,307,450,,18,31,,,,,,,,0.05,8,334,325,,31,18,,,,,,,,,Hip Adduction post for CON is listed as 625 which is assumed to be a typo and corrected to 325
"Bemben et al., Med Sci Sports Exerc, 2010",8,15,80,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,hip extension,between,10,386,686,,27,40,,,,,,,,0.05,8,468,423,,62,45,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2011",8,15,81,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,strength,1RM,lower,hip flexion,between,10,307,441,,31,31,,,,,,,,0.05,8,312,232,,58,18,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2012",8,15,82,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,hypertrophy,US,lower,biceps ,between,10,6.315789474,7.543859649,,0.48245614,0.657894737,,,,,,,,0.01,8,6.096491228,6.403508772,,0.438596491,0.526315789,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2013",8,15,83,2000,6,51.3,0,71.05555556,26.7,untrained,healthy,y,26,3,12,3,8,80,n,hypertrophy,US,lower,quadriceps (rectus femoris),between,10,3.336099585,4.43153527,,0.298755187,0.373443983,,,,,,,,0.01,8,2.937759336,3.385892116,,0.348547718,0.547717842,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2000",8,16,84,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,upper,elbow flexion,between,7,196,223,,18,13,,,,,,,,,8,183,151,,13,18,,,,,,,,0.05,
"Bemben et al., Med Sci Sports Exerc, 2001",8,16,85,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,upper,pulldown,between,7,263,316,,18,13,,,,,,,,0.05,8,281,245,,13,18,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2002",8,16,86,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,upper,row,between,7,321,365,,18,18,,,,,,,,0.05,8,325,298,,18,31,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2003",8,16,87,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,upper,overhead press,between,7,352,365,,27,18,,,,,,,,,8,307,325,,22,18,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2004",8,16,88,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,upper,elbow extension,between,7,200,223,,18,14,,,,,,,,,8,178,168,,13,13,,,,,,,,,
"Bemben et al., Med Sci Sports Exerc, 2005",8,16,89,2000,6,52.11333333,0,64.72666667,23.73333333,untrained,healthy,y,26,3,12,3,16,40,n,strength,1RM,lower,knee flexion,between,7,454,544,,45,31,,,,,,,,0.05,8,419,392,,27,40,,,,,,,,,
